If I leave now , how do the roads look for my departure to Hornby ?	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] [SL:DESTINATION ] ]
What is the traffic like on my commute home	[IN:GET_INFO_TRAFFIC [SL:PATH ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
what 's traffic like on US1 ?	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
Are roads icy ?	[IN:GET_INFO_ROAD_CONDITION [SL:ROAD_CONDITION ] ]
how much is my drive home delayed	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
Cars on the road	[IN:GET_INFO_TRAFFIC ]
What is the traffic like from Hawaii to New York	[IN:GET_INFO_TRAFFIC [SL:SOURCE ] [SL:DESTINATION ] ]
How bad is traffic this morning	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
is it possible to travel from maryland to new jersey without traveling on route 95	[IN:GET_DIRECTIONS [SL:SOURCE ] [SL:DESTINATION ] [SL:PATH_AVOID ] ]
If I leave here at noon , when will I get to Panama City , Florida ?	[IN:GET_ESTIMATED_ARRIVAL [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION ] ]
Is there a heavy traffic during weekends	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
Where can we see the Easter Bunny	[IN:GET_EVENT [SL:NAME_EVENT ] ]
When will the traffic begin to subside	[IN:GET_INFO_TRAFFIC ]
is there any traffic warning on El camino road ?	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
what 's the traffic situation on the highway	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
How long will it take me to get to my brother 's house with the flooding from the storm ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED ] [SL:TYPE_RELATION ] ] ] [SL:ROAD_CONDITION ] ]
Is there an accident in northbound 169 right now	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
How is the commute this morning to get to my sister house this afternoon ?	[IN:GET_INFO_TRAFFIC [SL:PATH ] [SL:DATE_TIME ] [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED ] [SL:TYPE_RELATION ] ] ] [SL:DATE_TIME ] ]
south lyon traffic	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
Festivals in Minneapolis , Minnesota this summer	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
Give me directions to Karens house if I leave downtown Dallas at 2AM	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:SOURCE ] [SL:DATE_TIME_DEPARTURE ] ]
the time to get from the chiropracter to the bank on jewell	[IN:GET_ESTIMATED_DURATION [SL:SOURCE [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] [SL:LOCATION_MODIFIER ] ] ] ]
Where is the most traffic today in New York	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] [SL:LOCATION ] ]
HOW LONG WILL IT TAKE ME TO GET TO THE STORE	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
christmas events today	[IN:GET_EVENT [SL:DATE_TIME ] [SL:DATE_TIME ] ]
What is the current drive time to Mt . Hood	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
concerts happening this month	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
is there an alternate route i can take with less traffic	[IN:UPDATE_DIRECTIONS [SL:OBSTRUCTION_AVOID ] ]
Things to do in Miami during New Year 's Weekend	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
What is the best route to take to u.s . Bank Stadium with the least amount of traffic	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:OBSTRUCTION_AVOID ] ]
more traffic please	[IN:GET_INFO_TRAFFIC ]
are there any accidents on hwy 45	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
What 's going on tomorrow	[IN:GET_EVENT [SL:DATE_TIME ] ]
arts and crafts events in santa monica	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
Find all parades in Texas this month	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
Are there any concerts coming up in Minneapolis , Minnesota	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
Are there any special events happening at Crystal Mountain this weekend	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME ] ]
is the freeway clear right now	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:DATE_TIME ] ]
Miles to drive to work	[IN:GET_DISTANCE [SL:UNIT_DISTANCE ] [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
How long to get home right now	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:DATE_TIME_DEPARTURE ] ]
What is the I - 10 traffic report	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
best reviewed new years party	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:CATEGORY_EVENT ] ]
How is the traffic near me today	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] [SL:DATE_TIME ] ]
Directions to Publix .	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
How much longer of a commute because of traffic into Raleigh	[IN:GET_ESTIMATED_DURATION [SL:PATH ] [SL:DESTINATION ] ]
On our way camping , i'd like to know the directions that include the most scenic route available	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT ] ] ] ]
How long a travel time from my destination to the next town	[IN:GET_ESTIMATED_DURATION [SL:SOURCE ] [SL:DESTINATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER ] [SL:CATEGORY_LOCATION ] ] ] ]
is my drive home clear	[IN:GET_INFO_TRAFFIC [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
When will I make it to Dale City based on leaving my job in Falls Church at 10 AM ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION ] [SL:SOURCE [IN:GET_LOCATION_WORK [SL:CONTACT ] [SL:LOCATION_WORK ] ] ] [SL:DATE_TIME_DEPARTURE ] ]
Concerts for Carrie Underwood	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:NAME_EVENT ] ]
Traffic news for Santa Barbara	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
How long does it take to get to Mira 's hose from here ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] ]
How long will it take for me to drive until my interview at 9 am ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_EVENT [SL:ORGANIZER_EVENT ] [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ] ] ]
Will I run into construction on the way to the mall concert ?	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:CATEGORY_EVENT ] ] ] ]
Tell me about traffic	[IN:GET_INFO_TRAFFIC ]
How long is my drive to Jacksonville	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION ] ]
Bowie Is exhibit dates	[IN:GET_EVENT [SL:CATEGORY_EVENT ] ]
How many minutes will it take for me to get to the nearest Shoprite if I leave my house right now ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER ] [SL:POINT_ON_MAP ] ] ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DATE_TIME_DEPARTURE ] ]
any detour i can take from i202 to eagles parade ?	[IN:UPDATE_DIRECTIONS [SL:PATH ] [SL:SOURCE ] [SL:DESTINATION [IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] ] ] ]
is there a traffic update for my area	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] ]
How long will it take me to get to L.A . if I leave at 2 pm this afternoon ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION ] [SL:DATE_TIME_DEPARTURE ] ]
How far is it from San Antonio to Orlando Florida	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
Where can I go to see a play	[IN:GET_EVENT [SL:CATEGORY_EVENT ] ]
Suggestions to avoid traffic	[IN:UPDATE_DIRECTIONS [SL:OBSTRUCTION_AVOID ] ]
will there be a delay going home	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
Commute time to get to work	[IN:GET_ESTIMATED_DURATION [SL:PATH ] [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
i need the quickest route to my meeting with bob avoiding the tolls on the highway	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_EVENT [SL:ORGANIZER_EVENT ] [SL:CATEGORY_EVENT ] [SL:ATTENDEE_EVENT ] ] ] [SL:PATH_AVOID [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] [SL:LOCATION_MODIFIER [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ] ] ]
Any underage events tonight	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:DATE_TIME ] ]
what kind of concerts are happening this weekend in nashville	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] [SL:LOCATION ] ]
when is the food for the homeless sharing event in Lanham	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
what is the traffic like in Denver right now	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
Can I leave in 15 minutes and arrive at my brother 's before 6 : 00 ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED ] [SL:TYPE_RELATION ] ] ] [SL:DATE_TIME_ARRIVAL ] ]
Can I get to Paris before 3 am ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION ] [SL:DATE_TIME_ARRIVAL ] ]
what is the drive time from Dallas to Houston	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
hoiw long to get around DC if I leave now	[IN:GET_ESTIMATED_DURATION [SL:WAYPOINT_AVOID ] [SL:DATE_TIME_DEPARTURE ] ]
How do I get from Kalahari Resort in OH to Cedar Point in OH ?	[IN:GET_DIRECTIONS [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP ] [SL:LOCATION_MODIFIER ] ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:LOCATION ] [SL:LOCATION_MODIFIER ] ] ] ]
Is there any construction on I - 75 today	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
How far is New York from Boston	[IN:GET_DISTANCE [SL:DESTINATION ] [SL:SOURCE ] ]
If I leave Gayle 's house at 7 : 00 Thursday morning , will I get to the open house by noon ?	[IN:GET_ESTIMATED_ARRIVAL [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT ] ] ] [SL:DATE_TIME_ARRIVAL ] ]
Did the snow get cleared from Park Avenue this morning ?	[IN:GET_INFO_ROAD_CONDITION [SL:ROAD_CONDITION ] [SL:LOCATION ] [SL:DATE_TIME ] ]
If I take the backroads how long will it take me to ge5 to the 4 pm movie with mom	[IN:GET_ESTIMATED_DURATION [SL:PATH [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:DESTINATION [IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] [SL:ATTENDEE_EVENT ] ] ] ]
Is there any organized snowball fights during Christmas week	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
Do I have enough time to reach the Clark Art Institute by 9 PM	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME_ARRIVAL ] ]
are there any Christmas events this weekend	[IN:GET_EVENT [SL:DATE_TIME ] [SL:DATE_TIME ] ]
What movies are playing near me	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ]
What 's the traffic like in LAs vegas	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
how do i get to overpoort from silverspring avaoiding the freeway ?	[IN:GET_DIRECTIONS [SL:DESTINATION ] [SL:SOURCE ] [SL:PATH_AVOID [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
What are the current traffic levels in my area	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] ]
what is there to do	[IN:GET_EVENT ]
Is there anything fun to do in Colorado Springs	[IN:GET_EVENT [SL:LOCATION ] ]
Bad traffic in Mishawaka	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
Are there any traffic accidents on the way to work and is there any traffic jams as well	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
How many miles is it from Philadelphia to Delaware	[IN:GET_DISTANCE [SL:UNIT_DISTANCE ] [SL:SOURCE ] [SL:DESTINATION ] ]
When should I leave for work	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
Have they cleared to accident heading to the Battle of Flowers Parade by the 410 exit downtown ?	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION ] ] ] ] ] ]
afternoon traffic	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
how long will it take me to get to Disneyland	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
Are there any festivals in Paris this week	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
Tell me what traffic is like in Denver	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
Is the road clear to Lacey	[IN:GET_INFO_TRAFFIC [SL:DESTINATION ] ]
Christmas window displays in Chicago locations	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
is there an accident on i90 right now	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
What can I do tonight	[IN:GET_EVENT [SL:DATE_TIME ] ]
Whats ' the quickest way to the mall if i want to get there in 20 minutes ?	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:DATE_TIME_ARRIVAL ] ]
Is there an accident in front of me	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ]
is there any accident on freeway I5	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
anything cool is happening in Orem tonight	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
Movie times near me for tonight	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] [SL:DATE_TIME ] ]
Reptile show near me	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ]
I would like to be in San Antonio by Sunday . When would I need to leave my house to get there on time ?	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION ] [SL:DATE_TIME_ARRIVAL ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] ]
living nativities in New Jersey	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
What 's the traffic like on my way to the office this morning ?	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] [SL:DATE_TIME ] ]
How long will it take me to drive from Las Cruces to El Paso if I avoid the interstate ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] [SL:PATH_AVOID [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
how long will it take to get to the all from here	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] ]
How does traffic look on I75 north bound	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
Can I arrive at Denver at 3 pm if I leave in 30 minutes ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION ] [SL:DATE_TIME_ARRIVAL ] [SL:DATE_TIME_DEPARTURE ] ]
Are there any road closures on my commute	[IN:GET_INFO_TRAFFIC [SL:PATH ] ]
Beer Festival in Portland on Saturday	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
How many miles is it from Orlando to New York City	[IN:GET_DISTANCE [SL:UNIT_DISTANCE ] [SL:SOURCE ] [SL:DESTINATION ] ]
Things going on in Santa Rosa this weekend	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
any kid friendly holiday events	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:CATEGORY_EVENT ] ]
if I leave at 1 : 00 p.m . what time will I get to Nashville	[IN:GET_ESTIMATED_ARRIVAL [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION ] ]
Christmas light displays this week	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
When do I need to leave tonight ?	[IN:GET_ESTIMATED_DEPARTURE [SL:DATE_TIME_DEPARTURE ] ]
christmas tree lighting near me	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ]
Law enforcement charity benefits in Houston	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
is there traffic driving from Portland to Seattle	[IN:GET_INFO_TRAFFIC [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
christmas events	[IN:GET_EVENT [SL:DATE_TIME ] ]
Mommy - and - me events near Dallas	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION ] ] ] ]
are there construction delays	[IN:GET_INFO_TRAFFIC ]
Is traffic heavy right now in Minneapolis	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] [SL:LOCATION ] ]
Where are the best lights to see in Roanoke tonight	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
family birthday party for next month	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
Are there any free classes on investing	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:CATEGORY_EVENT ] ]
What time will Abeer arrive here if she left her clinic at 7 pm ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] [SL:SOURCE [IN:GET_LOCATION_WORK [SL:CONTACT ] ] ] [SL:DATE_TIME_DEPARTURE ] ]
Is there a detour for traffic on I - 90	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
What is happening at the Magic Kingdom tonight	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME ] ]
How long is the drive to work	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
Directions to the Alabama National Fair next to Alabama State University from the park .	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:POINT_ON_MAP ] ] ] ] ] [SL:SOURCE [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
what is traffic like from home to work	[IN:GET_INFO_TRAFFIC [SL:SOURCE [IN:GET_LOCATION_HOME ] ] [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
What streets in Rochester , NY have been plowed today	[IN:GET_INFO_ROAD_CONDITION [SL:LOCATION ] [SL:ROAD_CONDITION ] [SL:DATE_TIME ] ]
Volunteering opportunities in vancouver this weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
When will I arrive to dandy mall if I leave now ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME_DEPARTURE ] ]
Omaha Nightlife Dec 23rd	[IN:GET_EVENT [SL:LOCATION ] [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
What is the commute time from San Jose to San Francisco now	[IN:GET_ESTIMATED_DURATION [SL:PATH ] [SL:SOURCE ] [SL:DESTINATION ] [SL:DATE_TIME_DEPARTURE ] ]
how heavy is traffic usually around noon on I - 30	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] [SL:LOCATION ] ]
Anything to do near me	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ]
Find the quickest way to get to Music festival near Alex St . , from Aashna 's school .	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION ] ] ] ] ] [SL:SOURCE [IN:GET_LOCATION_SCHOOL [SL:CONTACT ] ] ] ]
What 's the coolest thing to do next Wednesday in Beverly Hills	[IN:GET_EVENT [SL:DATE_TIME ] [SL:LOCATION ] ]
How long of a walk is it from Tampa FL to Riverview FL	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
How many miles away is the closest Walmart	[IN:GET_DISTANCE [SL:UNIT_DISTANCE ] [SL:DESTINATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER ] [SL:POINT_ON_MAP ] ] ] ]
Free Events in Miami	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:LOCATION ] ]
Will the roads downtown be blocked off for the Ahly game today ?	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:LOCATION [IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ] ] ]
what time can I make it to Catuaí passing through Londrina downtown without any downed power lines ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION ] [SL:WAYPOINT ] [SL:OBSTRUCTION_AVOID ] ]
Find How far is Poughkeepsie from New York City	[IN:GET_DISTANCE [SL:DESTINATION ] [SL:SOURCE ] ]
What is the traffic like in Miami right now	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
If I leave right now , how long will it take me to get to Geri 's house ?	[IN:GET_ESTIMATED_DURATION [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] ]
How much time delay is it to get home	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
traffic at mall	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
What is the distance between Raleigh and Portland	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
How is traffic in the 101	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
Will I run into downed power lines on the way to Santa Barbara ?	[IN:GET_INFO_TRAFFIC [SL:DESTINATION ] ]
Are there any holiday events happening today	[IN:GET_EVENT [SL:DATE_TIME ] [SL:DATE_TIME ] ]
how long will the traffic jam delay my trip	[IN:GET_ESTIMATED_DURATION ]
What events are going on at Lou 's Blues tonight	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME ] ]
are there any traffic spots on 77	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
how much time will it take if i go the airport from Pearlridge via H1 during rush hour	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:PATH ] [SL:DATE_TIME_DEPARTURE ] ]
What is the driving distance from Bridgewater to Ludlow	[IN:GET_DISTANCE [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
If I leave home now , what time will I be at work	[IN:GET_ESTIMATED_ARRIVAL [SL:SOURCE [IN:GET_LOCATION_HOME ] ] [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
Will I make it to El Paso , Texas by 5 p.m . tomorrow with the current traffic conditions ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION ] [SL:DATE_TIME_ARRIVAL ] ]
Is the traffic bad on Rt 17 this morning ?	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
There 's a major construction on the way to work , how much earlier do I need to leave ?	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
Why is traffic occurring	[IN:GET_INFO_TRAFFIC ]
Christmas Events in Miami	[IN:GET_EVENT [SL:DATE_TIME ] [SL:LOCATION ] ]
Nutcracker near me for Friday night	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] [SL:DATE_TIME ] ]
What is the distance between Paris and Berlin	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
How long will it take me to get from home to the office	[IN:GET_ESTIMATED_DURATION [SL:SOURCE [IN:GET_LOCATION_HOME ] ] [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
